condition,param_str,APSC_minProb_mean,AMPC_minProb_mean,CDBF_minProb_mean,APSC_meanVx,AMPC_meanVx,CDBF_meanVx
icy,prior0p90p05mesvar0p3emax10,0.328,0.0815,0.201,5.66872522559356,7.76753510337518,10.5939238069099
normal,prior0p90p05mesvar0p3emax10,0.657,0,0,6.80708145209802,11.1460584718269,30.1484728168979
dry,prior0p90p05mesvar0p3emax10,0.8305,0.2095,0.2185,7.54578160396089,7.32614194346182,33.9164922099867
icy,prior0p90p3mesvar0p05emax3,0.355,0,0,5.8500787604813,6.21454464440686,13.1913196832607
normal,prior0p90p3mesvar0p05emax3,0.5615,0,0,6.1274755018142,8.45172643817153,15.8628974832141
dry,prior0p90p3mesvar0p05emax3,0.399,0,0,5.76946034774893,9.20343976013994,25.9185342806337
icy,prior0p90p3mesvar0p05emax5,0.3935,0,0,5.75422846972145,4.51079667363001,16.9646223989234
normal,prior0p90p3mesvar0p05emax5,0.4525,0,0,7.61262398434785,5.37350700319918,15.9672580069442
dry,prior0p90p3mesvar0p05emax5,0.327,0.0935,0.05,4.83836181763548,8.68809464789225,32.3810759491251
icy,prior0p90p3mesvar0p05emax10,0.397,0.14,0.1815,42.0165549796517,5.44947245865586,5.4751035659694
normal,prior0p90p3mesvar0p05emax10,0.453,0,0,7.8460805638606,5.22489101544841,18.6000328199346
dry,prior0p90p3mesvar0p05emax10,0.319,0.15,0.199,6.5577095391438,10.3357183375334,30.6105337000288
icy,prior0p90p3mesvar0p3emax3,0.277,0,0,4.96675095610482,7.43859499638245,15.3307822257451
normal,prior0p90p3mesvar0p3emax3,0.7545,0,0,6.75202591501445,7.66734747387543,18.827917034191
dry,prior0p90p3mesvar0p3emax3,0.5815,0.0445,0,6.26990227234613,5.80127113126188,17.7688640515864
icy,prior0p90p3mesvar0p3emax5,0.371,0.0335,0.002,4.66049401740564,4.56137835993705,5.19368770905136
normal,prior0p90p3mesvar0p3emax5,0.615,0,0,6.50269172639599,4.30705632980609,14.6493471099877
dry,prior0p90p3mesvar0p3emax5,0.4365,0,0.0075,6.48594925734477,8.97711642005018,22.7059746538455
icy,prior0p90p3mesvar0p3emax10,0.3825,0.0695,0.093,5.70150941818723,4.19763326756137,6.36176983446457
normal,prior0p90p3mesvar0p3emax10,0.63,0,0,7.33075635869833,8.75289092474517,12.9140653982258
dry,prior0p90p3mesvar0p3emax10,0.572,0.0615,0.1645,6.97868151298564,8.68923094550516,17.4609383583535
